,Unnamed: 0,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,0,99926000,Nifty 50,NIFTY,,0.0,1,AMXIDX,NSE,0.0
1,1,99926001,Nifty GrowSect 15,NIFTY GROWSECT 15,,0.0,1,AMXIDX,NSE,0.0
2,2,99926002,Nifty50 PR 2x Lev,NIFTY50 PR 2X LEV,,0.0,1,AMXIDX,NSE,0.0
3,3,99926004,Nifty 500,NIFTY 500,,0.0,1,AMXIDX,NSE,0.0
4,4,99926008,Nifty IT,NIFTY IT,,0.0,1,AMXIDX,NSE,0.0
5,5,99926009,Nifty Bank,BANKNIFTY,,0.0,1,AMXIDX,NSE,0.0
6,6,99926011,NIFTY MIDCAP 100,NIFTY MIDCAP 100,,0.0,1,AMXIDX,NSE,0.0
7,7,99926012,Nifty 100,NIFTY 100,,0.0,1,AMXIDX,NSE,0.0
8,8,99926013,Nifty Next 50,NIFTYNXT50,,0.0,1,AMXIDX,NSE,0.0
9,9,99926014,Nifty Midcap 50,NIFTY MIDCAP 50,,0.0,1,AMXIDX,NSE,0.0
10,10,99926016,HangSeng BeES-NAV,HANGSENG BEES-NAV,,0.0,1,AMXIDX,NSE,0.0
11,11,99926017,India VIX,INDIA VIX,,0.0,1,AMXIDX,NSE,0.0
12,12,99926018,Nifty Realty,NIFTY REALTY,,0.0,1,AMXIDX,NSE,0.0
13,13,99926019,Nifty Infra,NIFTY INFRA,,0.0,1,AMXIDX,NSE,0.0
14,14,99926020,Nifty Energy,NIFTY ENERGY,,0.0,1,AMXIDX,NSE,0.0
15,15,99926021,Nifty FMCG,NIFTY FMCG,,0.0,1,AMXIDX,NSE,0.0
16,16,99926022,Nifty MNC,NIFTY MNC,,0.0,1,AMXIDX,NSE,0.0
17,17,99926023,Nifty Pharma,NIFTY PHARMA,,0.0,1,AMXIDX,NSE,0.0
18,18,99926024,Nifty PSE,NIFTY PSE,,0.0,1,AMXIDX,NSE,0.0
19,19,99926025,Nifty PSU Bank,NIFTY PSU BANK,,0.0,1,AMXIDX,NSE,0.0
20,20,99926026,Nifty Serv Sector,NIFTY SERV SECTOR,,0.0,1,AMXIDX,NSE,0.0
21,21,99926029,Nifty Auto,NIFTY AUTO,,0.0,1,AMXIDX,NSE,0.0
22,22,99926030,Nifty Metal,NIFTY METAL,,0.0,1,AMXIDX,NSE,0.0
23,23,99926031,Nifty Media,NIFTY MEDIA,,0.0,1,AMXIDX,NSE,0.0
24,24,99926032,NIFTY SMLCAP 100,NIFTY SMLCAP 100,,0.0,1,AMXIDX,NSE,0.0
25,25,99926033,Nifty 200,NIFTY 200,,0.0,1,AMXIDX,NSE,0.0
26,26,99926034,Nifty Div Opps 50,NIFTY DIV OPPS 50,,0.0,1,AMXIDX,NSE,0.0
27,27,99926035,Nifty Commodities,NIFTY COMMODITIES,,0.0,1,AMXIDX,NSE,0.0
28,28,99926036,Nifty Consumption,NIFTY CONSUMPTION,,0.0,1,AMXIDX,NSE,0.0
29,29,99926037,Nifty Fin Service,FINNIFTY,,0.0,1,AMXIDX,NSE,0.0
30,30,99926038,Nifty50 Div Point,NIFTY50 DIV POINT,,0.0,1,AMXIDX,NSE,0.0
31,31,99926040,Nifty100 Liq 15,NIFTY100 LIQ 15,,0.0,1,AMXIDX,NSE,0.0
32,32,99926041,Nifty CPSE,NIFTY CPSE,,0.0,1,AMXIDX,NSE,0.0
33,33,99926042,Nifty50 PR 1x Inv,NIFTY50 PR 1X INV,,0.0,1,AMXIDX,NSE,0.0
34,34,99926043,Nifty50 TR 2x Lev,NIFTY50 TR 2X LEV,,0.0,1,AMXIDX,NSE,0.0
35,35,99926044,Nifty50 TR 1x Inv,NIFTY50 TR 1X INV,,0.0,1,AMXIDX,NSE,0.0
36,36,99926045,Nifty50 Value 20,NIFTY50 VALUE 20,,0.0,1,AMXIDX,NSE,0.0
37,37,99926046,Nifty Mid Liq 15,NIFTY MID LIQ 15,,0.0,1,AMXIDX,NSE,0.0
38,38,99926047,Nifty Pvt Bank,NIFTY PVT BANK,,0.0,1,AMXIDX,NSE,0.0
39,39,99926048,NIFTY100 Qualty30,NIFTY100 QUALTY30,,0.0,1,AMXIDX,NSE,0.0
40,40,99926049,Nifty GS 8 13Yr,NIFTY GS 8 13YR,,0.0,1,AMXIDX,NSE,0.0
41,41,99926050,Nifty GS 10Yr,NIFTY GS 10YR,,0.0,1,AMXIDX,NSE,0.0
42,42,99926051,Nifty GS 10Yr Cln,NIFTY GS 10YR CLN,,0.0,1,AMXIDX,NSE,0.0
43,43,99926052,Nifty GS 4 8Yr,NIFTY GS 4 8YR,,0.0,1,AMXIDX,NSE,0.0
44,44,99926053,Nifty GS 11 15Yr,NIFTY GS 11 15YR,,0.0,1,AMXIDX,NSE,0.0
45,45,99926054,Nifty GS 15YrPlus,NIFTY GS 15YRPLUS,,0.0,1,AMXIDX,NSE,0.0
46,46,99926055,Nifty GS Compsite,NIFTY GS COMPSITE,,0.0,1,AMXIDX,NSE,0.0
47,47,99926056,NIFTY50 EQL Wgt,NIFTY50 EQL WGT,,0.0,1,AMXIDX,NSE,0.0
48,48,99926057,NIFTY100 EQL Wgt,NIFTY100 EQL WGT,,0.0,1,AMXIDX,NSE,0.0
49,49,99926058,NIFTY100 LowVol30,NIFTY100 LOWVOL30,,0.0,1,AMXIDX,NSE,0.0
50,50,99926059,NIFTY Alpha 50,NIFTY ALPHA 50,,0.0,1,AMXIDX,NSE,0.0
51,51,99926060,NIFTY MIDCAP 150,NIFTY MIDCAP 150,,0.0,1,AMXIDX,NSE,0.0
52,52,99926061,NIFTY SMLCAP 50,NIFTY SMLCAP 50,,0.0,1,AMXIDX,NSE,0.0
53,53,99926062,NIFTY SMLCAP 250,NIFTY SMLCAP 250,,0.0,1,AMXIDX,NSE,0.0
54,54,99926063,NIFTY MIDSML 400,NIFTY MIDSML 400,,0.0,1,AMXIDX,NSE,0.0
55,55,99926064,NIFTY200 QUALTY30,NIFTY200 QUALTY30,,0.0,1,AMXIDX,NSE,0.0
56,56,99926074,NIFTY MID SELECT,MIDCPNIFTY,,0.0,1,AMXIDX,NSE,0.0
57,57,1008,FACT-EQ,FACT,,-1.0,1,,NSE,5.0
58,58,1015,688WB40-SG,688WB40,,-1.0,100,,NSE,1.0
59,59,10051,SFMP6DD-MF,SFMP6DD,,-1.0,1,,NSE,1.0
60,60,10128,MONQ50INAV-EQ,MONQ50INAV,,-1.0,1,,NSE,1.0
61,61,10235,776HP30-SG,776HP30,,-1.0,100,,NSE,1.0
62,62,10238,CONFIPET-EQ,CONFIPET,,-1.0,1,,NSE,1.0
63,63,10300,RAMASTEEL-EQ,RAMASTEEL,,-1.0,1,,NSE,1.0
64,64,10331,781HR32A-SG,781HR32A,,-1.0,100,,NSE,1.0
65,65,10333,794PN42-SG,794PN42,,-1.0,100,,NSE,1.0
66,66,10337,792AP41-SG,792AP41,,-1.0,100,,NSE,1.0
67,67,10343,RADHIKAJWE-EQ,RADHIKAJWE,,-1.0,1,,NSE,1.0
68,68,10374,802MZ36-SG,802MZ36,,-1.0,100,,NSE,1.0
69,69,10382,795TS35-SG,795TS35,,-1.0,100,,NSE,1.0
70,70,10415,MUTHOOTCAP-EQ,MUTHOOTCAP,,-1.0,1,,NSE,1.0
71,71,10417,DYCL-EQ,DYCL,,-1.0,1,,NSE,5.0
72,72,10453,SATIN-EQ,SATIN,,-1.0,1,,NSE,1.0
73,73,10457,ARVSMART-EQ,ARVSMART,,-1.0,1,,NSE,5.0
74,74,10479,797HR42-SG,797HR42,,-1.0,100,,NSE,1.0
75,75,10480,797RJ42-SG,797RJ42,,-1.0,100,,NSE,1.0
76,76,10530,SHARDAMOTR-EQ,SHARDAMOTR,,-1.0,1,,NSE,5.0
77,77,10540,774MZ33-SG,774MZ33,,-1.0,100,,NSE,1.0
78,78,10559,743HP28-SG,743HP28,,-1.0,100,,NSE,1.0
79,79,10580,TCI-EQ,TCI,,-1.0,1,,NSE,5.0
80,80,10645,793RJ45-SG,793RJ45,,-1.0,100,,NSE,1.0
81,81,10666,PNB-EQ,PNB,,-1.0,1,,NSE,1.0
82,82,10676,MNC-EQ,MNC,,-1.0,1,,NSE,1.0
83,83,1076,ZENSARTECH-EQ,ZENSARTECH,,-1.0,1,,NSE,5.0
84,84,10738,OFSS-EQ,OFSS,,-1.0,1,,NSE,50.0
85,85,10741,728NTPC30B-N9,728NTPC30B,,-1.0,1,,NSE,1.0
86,86,10753,UNIONBANK-EQ,UNIONBANK,,-1.0,1,,NSE,1.0
87,87,10836,SEYAIND-BE,SEYAIND,,-1.0,1,,NSE,1.0
88,88,10842,HDFC1406RG-MF,HDFC1406RG,,-1.0,1,,NSE,1.0
89,89,10844,77TN42-SG,77TN42,,-1.0,100,,NSE,1.0
90,90,10925,GODREJIND-EQ,GODREJIND,,-1.0,1,,NSE,5.0
91,91,10945,TMB-EQ,TMB,,-1.0,1,,NSE,5.0
92,92,11033,SANGINITA-BE,SANGINITA,,-1.0,1,,NSE,1.0
93,93,11037,BANKIETF-EQ,BANKIETF,,-1.0,1,,NSE,1.0
94,94,11141,SUMIT-BE,SUMIT,,-1.0,1,,NSE,1.0
95,95,11155,CNL-EQ,CNL,,-1.0,1,,NSE,5.0
96,96,11193,AXISILVER-EQ,AXISILVER,,-1.0,1,,NSE,1.0
97,97,11208,KANDARP-SM,KANDARP,,-1.0,1000,,NSE,5.0
98,98,11226,BAGFILMS-EQ,BAGFILMS,,-1.0,1,,NSE,1.0
99,99,11260,HDFCVALUE-EQ,HDFCVALUE,,-1.0,1,,NSE,1.0
100,100,11283,769GA32-SG,769GA32,,-1.0,100,,NSE,1.0
101,101,11359,DHANBANK-EQ,DHANBANK,,-1.0,1,,NSE,1.0
102,102,11373,BIOCON-EQ,BIOCON,,-1.0,1,,NSE,5.0
103,103,11386,PVTBANIETF-EQ,PVTBANIETF,,-1.0,1,,NSE,1.0
104,104,11400,775GJ32-SG,775GJ32,,-1.0,100,,NSE,1.0
105,105,11390,776MH30-SG,776MH30,,-1.0,100,,NSE,1.0
106,106,11405,779TN32-SG,779TN32,,-1.0,100,,NSE,1.0
107,107,11413,783TS35-SG,783TS35,,-1.0,100,,NSE,1.0
108,108,11418,774RJ42-SG,774RJ42,,-1.0,100,,NSE,1.0
109,109,11447,CMRSL-SM,CMRSL,,-1.0,800,,NSE,5.0
110,110,11467,QMSMEDI-SM,QMSMEDI,,-1.0,1000,,NSE,5.0
111,111,11483,LT-EQ,LT,,-1.0,1,,NSE,10.0
112,112,11510,785UK32-SG,785UK32,,-1.0,100,,NSE,1.0
113,113,11513,785BR32-SG,785BR32,,-1.0,100,,NSE,1.0
114,114,11538,HDFCMOMENT-EQ,HDFCMOMENT,,-1.0,1,,NSE,1.0
115,115,11549,TEXINFRA-EQ,TEXINFRA,,-1.0,1,,NSE,1.0
116,116,11559,HDFC1359DD-MF,HDFC1359DD,,-1.0,1,,NSE,1.0
117,117,11571,PPLPHARMA-EQ,PPLPHARMA,,-1.0,1,,NSE,1.0
118,118,11581,GULFPETRO-EQ,GULFPETRO,,-1.0,1,,NSE,1.0
119,119,11588,741GJ26-SG,741GJ26,,-1.0,100,,NSE,1.0
120,120,11596,LINCOLN-EQ,LINCOLN,,-1.0,1,,NSE,5.0
121,121,11607,774WB39-SG,774WB39,,-1.0,100,,NSE,1.0
122,122,1163,66AS30-SG,66AS30,,-1.0,100,,NSE,1.0
123,123,11676,774HR29-SG,774HR29,,-1.0,100,,NSE,1.0
124,124,11691,784RJ32-SG,784RJ32,,-1.0,100,,NSE,1.0
125,125,11699,PATELENG-EQ,PATELENG,,-1.0,1,,NSE,1.0
126,126,11754,753IRFC30-NJ,753IRFC30,,-1.0,1,,NSE,1.0
127,127,11763,JPPOWER-EQ,JPPOWER,,-1.0,1,,NSE,1.0
128,128,11767,784TS39-SG,784TS39,,-1.0,100,,NSE,1.0
129,129,1185,AMBER-EQ,AMBER,,-1.0,1,,NSE,50.0
130,130,11779,ACEINTEG-EQ,ACEINTEG,,-1.0,1,,NSE,1.0
131,131,11829,SSWL-EQ,SSWL,,-1.0,1,,NSE,1.0
132,132,11861,93SCL24A-ZN,93SCL24A,,-1.0,1,,NSE,1.0
133,133,11884,MANINDS-EQ,MANINDS,,-1.0,1,,NSE,5.0
134,134,11961,SEMAC-EQ,SEMAC,,-1.0,1,,NSE,5.0
135,135,11985,768BR32-SG,768BR32,,-1.0,100,,NSE,1.0
136,136,1205,GOODYEAR-EQ,GOODYEAR,,-1.0,1,,NSE,5.0
137,137,12022,AURIONPRO-EQ,AURIONPRO,,-1.0,1,,NSE,5.0
138,138,12219,RUSTOMJEE-EQ,RUSTOMJEE,,-1.0,1,,NSE,5.0
139,139,1241,659RJ30A-SG,659RJ30A,,-1.0,100,,NSE,1.0
140,140,1247,GSFC-EQ,GSFC,,-1.0,1,,NSE,1.0
141,141,12471,CAGL27A-N6,CAGL27A,,-1.0,1,,NSE,1.0
142,142,12533,AAATECH-EQ,AAATECH,,-1.0,1,,NSE,1.0
143,143,12603,PRECAM-EQ,PRECAM,,-1.0,1,,NSE,1.0
144,144,12667,76GJ32-SG,76GJ32,,-1.0,100,,NSE,1.0
145,145,12701,768JK37-SG,768JK37,,-1.0,100,,NSE,1.0
146,146,12753,DJML-BE,DJML,,-1.0,1,,NSE,1.0
147,147,12919,931SFL26-Z5,931SFL26,,-1.0,1,,NSE,1.0
148,148,12941,SFLZC26A-ZC,SFLZC26A,,-1.0,1,,NSE,1.0
149,149,12978,NPBET-EQ,NPBET,,-1.0,1,,NSE,1.0
150,150,13035,SAFARI-EQ,SAFARI,,-1.0,1,,NSE,10.0
151,151,13051,753TS47-SG,753TS47,,-1.0,100,,NSE,1.0
152,152,1313,HARRMALAYA-EQ,HARRMALAYA,,-1.0,1,,NSE,1.0
153,153,13061,360ONE-EQ,360ONE,,-1.0,1,,NSE,10.0
154,154,13101,VIMTALABS-EQ,VIMTALABS,,-1.0,1,,NSE,5.0
155,155,13118,74ML27-SG,74ML27,,-1.0,100,,NSE,1.0
156,156,13203,ALLETEC-SM,ALLETEC,,-1.0,400,,NSE,5.0
157,157,13243,765GA32-SG,765GA32,,-1.0,100,,NSE,1.0
158,158,13244,763HR32-SG,763HR32,,-1.0,100,,NSE,1.0
159,159,13276,LANDMARK-EQ,LANDMARK,,-1.0,1,,NSE,5.0
160,160,13332,SOLARINDS-EQ,SOLARINDS,,-1.0,1,,NSE,100.0
161,161,13369,757GJ31-SG,757GJ31,,-1.0,100,,NSE,1.0
162,162,13372,762AR32-SG,762AR32,,-1.0,100,,NSE,1.0
163,163,13374,76KA32A-SG,76KA32A,,-1.0,100,,NSE,1.0
164,164,13392,77JK37-SG,77JK37,,-1.0,100,,NSE,1.0
165,165,13397,769PY37-SG,769PY37,,-1.0,100,,NSE,1.0
166,166,13421,EMKAY-EQ,EMKAY,,-1.0,1,,NSE,1.0
167,167,13491,JKLAKSHMI-EQ,JKLAKSHMI,,-1.0,1,,NSE,5.0
168,168,13600,762HR31-SG,762HR31,,-1.0,100,,NSE,1.0
169,169,1368,66MN30-SG,66MN30,,-1.0,100,,NSE,1.0
170,170,1369,662RJ30-SG,662RJ30,,-1.0,100,,NSE,1.0
171,171,13602,762TN33-SG,762TN33,,-1.0,100,,NSE,1.0
172,172,13643,ELECON-EQ,ELECON,,-1.0,1,,NSE,5.0
173,173,13703,VISHWARAJ-BE,VISHWARAJ,,-1.0,1,,NSE,1.0
174,174,13741,SHYAMTEL-BE,SHYAMTEL,,-1.0,1,,NSE,1.0
175,175,1378,668AP33-SG,668AP33,,-1.0,100,,NSE,1.0
176,176,1382,673PN40-SG,673PN40,,-1.0,100,,NSE,1.0
177,177,13750,FLUOROCHEM-EQ,FLUOROCHEM,,-1.0,1,,NSE,10.0
178,178,13761,BBL-EQ,BBL,,-1.0,1,,NSE,10.0
179,179,13877,767AS33-SG,767AS33,,-1.0,100,,NSE,1.0
